ano,sigla_uf,numero_consumidores,consumo,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,IBGE_POP,GDP,GDP_CAPITA,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,MUN_EXPENDIT
2010,PR,45635827.0,25355359,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2010,RJ,77313340.0,35801197,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2010,RN,13188159.0,4523331,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2010,RS,47549248.0,26228631,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2010,SC,28249351.0,18349922,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2010,SP,185592516.0,125504595,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2011,AL,10810559.0,3882451,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2011,BA,60251167.0,20959399,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2011,CE,35013121.0,9027635,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2011,GO,28703205.0,11706392,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2011,MA,22678779.0,12052756,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2011,MG,92793542.0,53610710,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2011,MS,10583048.0,4302164,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2011,PB,15608742.0,4256661,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2011,PE,37564660.0,11290773,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2011,PI,11807454.0,2392555,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2011,PR,47561821.0,26554400,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2011,RJ,78267305.0,37007925,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2011,RN,13788062.0,4577980,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2011,RS,48815442.0,27629548,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2011,SC,29144459.0,20285839,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2011,SP,191179498.0,130282185,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2012,AL,11222349.0,4447021,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2012,BA,61918804.0,21811360,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2012,CE,36231278.0,10024612,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2012,GO,29926336.0,13004378,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2012,MA,23914395.0,11699797,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2012,MG,95827006.0,53407057,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2012,MS,11006412.0,4693952,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2012,PB,16495604.0,4570022,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2012,PE,38356769.0,11831506,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2012,PI,12472485.0,2734312,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2012,PR,49255154.0,27790257,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2012,RJ,78598339.0,38049534,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2012,RN,14265037.0,4870059,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2012,RS,50037225.0,28111432,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2012,SC,30058304.0,21588918,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2012,SP,196814651.0,133742258,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2013,AL,11619133.0,4786569,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2013,BA,63772545.0,23321687,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2013,CE,37522119.0,10808636,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2013,GO,31113784.0,13614606,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2013,MA,25107861.0,10999197,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2013,MG,98656495.0,53898884,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2013,MS,11394513.0,5097806,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2013,PB,17123930.0,4910300,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2013,PE,39515499.0,12935106,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2013,PI,13019128.0,2891679,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2013,PR,50841757.0,29029099,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2013,RJ,79569372.0,39469177,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2013,RN,14826410.0,5216146,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2013,RS,51284819.0,28955999,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2013,SC,31121732.0,22407573,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2013,SP,202466162.0,136244333,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2014,AL,12033245.0,4949613,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2014,BA,66038184.0,24744981,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2014,CE,38975484.0,11356502,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2014,GO,32431674.0,14237865,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2014,MA,26013982.0,8700114,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2014,MG,101730369.0,54172635,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2014,MS,11802739.0,5345363,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2014,PB,17825968.0,5103360,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2014,PE,40641355.0,13459323,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2014,PI,13493589.0,3086365,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2014,PR,52689416.0,30386956,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2014,RJ,81554190.0,40933568,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2014,RN,15372579.0,5465620,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2014,RS,52509200.0,30637596,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2014,SC,32181497.0,23793952,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2014,SP,207974778.0,136481805,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2015,AL,12403867.0,4910480,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2015,BA,68177424.0,24149091,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2015,CE,40108987.0,11325726,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2015,GO,32278615.0,15030784,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2015,MA,26727848.0,7037798,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2015,MG,103325056.0,52816798,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2015,MS,12250820.0,5337826,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2015,PB,18471050.0,5179542,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2015,PE,41844704.0,13954862,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2015,PI,13912588.0,3293086,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2015,PR,54131432.0,29861017,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2015,RJ,84201973.0,41128936,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2015,RN,15943389.0,5516601,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2015,RS,53318690.0,29244578,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2015,SC,33055301.0,23048727,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2015,SP,211401805.0,130814731,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2016,AL,13060249.0,4880506,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2016,BA,69780620.0,23945410,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2016,CE,40840876.0,11913850,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2016,GO,34132757.0,15078646,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
2016,MA,27835130.0,6823586,0.768,0.741,0.813,0.752,942449.0,28323.36,26154.25,21.97,5531.0,14332677.0,3297957.23,2105900000.0
2016,MG,105456900.0,54102216,0.777,0.7625,0.87,0.707,704662.0,4227878.95,38290.595,839326.78,6923605.97,17223591.44,3292246.59,1997329852.0
2016,MS,12582968.0,5246143,0.784,0.79,0.844,0.724,765394.0,25437928.17,29442.66,308918.14,3792765.5,12943148.62,4895738.82,2662884470.0
2016,PB,18885730.0,5189204,0.7415,0.736,0.8220000000000001,0.6735,1051080.0,27089966.05,21940.32,37654.68,4820258.77,13627000.44,1728973.21,2458259473.0
2016,PE,42851208.0,13996074,0.6885,0.688,0.799,0.59,496037.0,5801049.35,17520.275,91539.90999999999,1340339.07,6068219.7,2391875.83,1122487933.0
2016,PI,14383162.0,3380711,0.75,0.731,0.82,0.707,762444.0,19149955.47,22597.68,46702.48,2851896.72,10183047.44,3450.95,2324727933.0
2016,PR,55079918.0,29597885,0.7793333333333333,0.781,0.8489999999999999,0.7136666666666667,1063389.0,47978362.45,41366.37333333333,334428.22000000003,7126286.67,24393653.61,5319335.04,3210310954.0
2016,RJ,83541040.0,39903433,0.764,0.792,0.828,0.681,198404.0,17580176.08,73412.55,51244.76,4735683.91,7232381.67,2784801.34,1681032334.0
2016,RN,16444796.0,5588536,0.72,0.694,0.811,0.663,234870.0,5755476.76,19714.79,139.36,933.66,2784896.84,1225065.06,450413704.0
2016,RS,54058283.0,29521055,0.7686666666666667,0.7883333333333334,0.8506666666666667,0.6776666666666666,915605.0,35687322.29,30411.036666666667,452409.69,900715.47,13965356.35,4756594.94,2741467309.0
2016,SC,34197081.0,23306707,0.803,0.7953333333333333,0.8846666666666666,0.7326666666666667,912462.0,40621039.0,42917.723333333335,362291.43,12799378.06,22691775.880000003,5019570.4399999995,2958644888.0
2016,SP,217148568.0,127170671,0.8012857142857143,0.8077142857142857,0.8521428571428571,0.7458571428571429,13530651.0,806069618.8100001,47205.75285714286,401241.75999999995,101915207.2,555690674.71,55221245.53,57674287224.0
2017,AL,13715483.0,4959862,0.721,0.739,0.799,0.635,867156.0,21306115.95,20853.41,164315.02,2922193.9,12006071.98,3278101.63,1795129013.0
2017,BA,70658772.0,24331448,0.7263333333333333,0.7256666666666667,0.8206666666666665,0.647,2624898.0,78069608.12,19787.366666666665,138925.95,10963732.55,39511247.87,10197889.8,6538658448.0
2017,CE,41473379.0,11424147,0.69,0.644,0.81,0.642,239172.0,4185791.73,15604.19,16226.81,446.85,2500749.36,783278.24,409356006.0
2017,GO,34209143.0,15366607,0.799,0.824,0.838,0.739,1291199.0,46659222.76,32209.01,36.55,6516.72,28379914.23,5524725.22,3766766105.0
